transition,detector_pts,detector_time_s,settled_pts,settled_time_s,pre_centroid_x_camera_px,pre_centroid_y_camera_px,post_centroid_x_camera_px,post_centroid_y_camera_px,raw_delta_x_camera_px,raw_delta_y_camera_px,reference_delta_x_camera_px,reference_delta_y_camera_px,reference_corrected_delta_x_camera_px,reference_corrected_delta_y_camera_px,raw_unrounded_step_x_source_px,raw_unrounded_step_y_source_px,corrected_unrounded_step_x_source_px,corrected_unrounded_step_y_source_px,decoded_step_x_source_px,decoded_step_y_source_px,cumulative_x_source_px,cumulative_y_source_px,raw_rounding_residual_source_px,corrected_rounding_residual_source_px,reference_ecc_correlation,window_frame_count
31,1153860,1923.1,1153870,1923.1166666666666,2130.1021613387866,452.83247895923137,2139.3277148662414,443.9621279604784,9.22555352745485,-8.87035099875294,-0.6802077889442444,0.6421281099319458,9.905761316399094,-9.512479108684886,1.00854109338357,-1.0018734528384112,1.0829109783386772,-1.0744316820835094,1,-1,-4,2,0.00874414671220769,0.1114195029016788,0.9924457072404511,167
32,1189942,1983.2366666666667,1189952,1983.2533333333333,2139.302951460822,443.93865128872267,2148.496601886398,434.7782931756024,9.193650425575925,-9.160358113120253,-0.5707538723945618,0.6329944133758545,9.764404297970486,-9.793352526496108,1.0048024673594294,-1.0337595550172824,1.0671315948200064,-1.105025694213056,1,-1,-3,1,0.03409943177977171,0.12464769339226406,0.995892238957939,167
33,1226023,2043.3716666666667,1226023,2043.3716666666667,2148.5378245786233,434.7436771328564,2139.420232436057,425.5067803659366,-9.117592142566082,-9.236896766919813,0.7486883401870728,-0.8095191121101379,-9.866280482753155,-8.427377654809675,-1.0108282579589922,-0.9944793637196933,-1.0926049923247292,-0.9032901571324471,-1,-1,-4,0,0.012154365280257033,0.13389726775005503,0.995088171294754,168
34,1262104,2103.5066666666667,1262114,2103.5233333333335,2139.526575580842,425.7003749675554,2130.400252026532,434.5702098148977,-9.126323554309693,8.869834847342304,0.21166421473026276,-0.278598815202713,-9.337987769039955,9.148433662545017,-0.9976189704574121,1.0015579696405623,-1.0206994235599909,1.0328211812821386,-1,1,-5,1,0.0028454474311767233,0.038803299814202816,0.996693947991558,168
35,1298185,2163.641666666667,1298196,2163.66,2130.05300439494,434.4852751018018,2120.790451761117,443.3061578917441,-9.262552633823361,8.820882789942289,-0.1525055319070816,-0.32946881651878357,-9.11004710191628,9.150351606461072,-1.0126524047703553,0.9965166893380214,-0.99560784160133,1.0324386142327189,-1,1,-6,2,0.013123139854499928,0.03273461086889776,0.9966538082665076,168
36,1334257,2223.7616666666668,1334267,2223.778333333333,2121.0443600649323,443.29942527642174,2111.738829812106,452.38712775724156,-9.30553025282643,9.087702480819814,-0.18248970806598663,0.29355931282043457,-9.123040544760443,8.79414316799938,-1.017174260339305,1.026041834195867,-0.9973168367299681,0.9932054626182463,-1,1,-7,3,0.03119506926562682,0.007305142254993893,0.9964215266769461,168
37,1370338,2283.8966666666665,1370348,2283.9133333333334,2111.8079370091427,452.37688786917823,2102.3994847626373,461.25423924640864,-9.408452246505476,8.877351377230411,-0.1326306015253067,0.013705735094845295,-9.27582164498017,8.863645642135566,-1.0286677998273743,1.003121765114615,-1.0140794964397548,1.0012652751629978,-1,1,-8,4,0.028837270404343585,0.014136235044564288,0.9966011235462878,168
38,1406429,2344.048333333333,1406429,2344.048333333333,2102.320058293016,461.3498158221463,2092.9276001415046,470.1759626157326,-9.392458151511164,8.826146793586304,0.17214813828468323,-0.4919199049472809,-9.564606289795847,9.318066698533585,-1.0269473569109921,0.9974354948232151,-1.0455112168094605,1.0521114054115515,-1,1,-9,5,0.027069110278879736,0.06918720567738512,0.9963278087415988,167
39,1442501,2404.1683333333335,1442511,2404.185,2092.9581757235046,470.1392719379658,2083.6020906928597,478.931946699146,-9.356085030644863,8.792674761180194,0.12904447317123413,-0.5218762159347534,-9.485129503816097,9.314550977114948,-1.0229698588037408,0.9936508849708569,-1.0367657311458642,1.0515167365556926,-1,1,-10,6,0.02383119122320746,0.06329054536057184,0.9967922994487266,167
40,1478582,2464.3033333333333,1478592,2464.32,2083.8526074017673,478.8748662044172,2074.776704673348,487.7446885991719,-9.07590272841935,8.869822394754749,0.025795428082346916,0.3807409405708313,-9.101698156501698,8.489081454183918,-0.9920690157311872,1.0014252046166636,-0.9952063611840821,0.9595210477249129,-1,1,-11,7,0.008058022069435842,0.04076180259000154,0.9964842113005973,168
41,1514663,2524.4383333333335,1514673,2524.455,2074.897494835133,487.61842703680645,2065.5705455474354,496.78952001533025,-9.326949287697516,9.171092978523802,-0.1764410138130188,0.2266477346420288,-9.150508273884498,8.944445243881773,-1.0194666531125631,1.0352902894568363,-1.0002226613856042,1.0098457483609375,-1,1,-12,8,0.0403032891133237,0.009848265780305869,0.996727620429912,168
42,1550745,2584.575,1550755,2584.5916666666667,2065.459988009652,496.71335360318545,2056.3103555689427,505.5678082150856,-9.14963244070941,8.854454611900167,0.8609747886657715,-0.786169171333313,-10.010607229375182,9.64062378323348,-1.00019668284484,0.9999232541667731,-1.0943513813791654,1.0888310642514687,-1,1,-13,9,0.0002111257075111542,0.12958835265642235,0.9938431753602135,168
